PUSH  FIND  POP
8188     677     1403     
8194     677     1404     
8201     678     1405     
8207     678     1407     
8214     679     1408     
8220     680     1409     
8227     681     1410     
8232     682     1412     
8238     683     1413     
8244     683     1414     
8251     684     1415     
8257     685     1416     
8263     685     1417     
8270     686     1418     
8277     686     1419     
8284     687     1420     
8291     688     1421     
8297     688     1422     
8304     689     1423     
8310     690     1425     
8316     691     1427     
8322     692     1429     
8329     693     1430     
8335     694     1432     
8342     695     1433     
8348     695     1434     
8355     695     1435     
8362     696     1436     
8369     697     1437     
8375     697     1438     
8382     698     1439     
8388     698     1440     
8395     699     1441     
8401     700     1442     
8407     700     1443     
8413     700     1444     
8420     701     1445     
8426     701     1446     
8433     702     1447     
8439     703     1448     
8446     704     1449     
8452     705     1450     
8459     706     1451     
8466     707     1452     
8472     707     1453     
8479     708     1454     
8484     708     1455     
8490     708     1456     
8497     709     1458     
8503     709     1459     
8510     710     1460     
8516     710     1461     
8522     710     1462     
8529     711     1463     
8535     712     1464     
8541     713     1465     
8547     714     1466     
8553     714     1467     
8560     715     1468     
8567     715     1469     
8574     716     1470     
8580     716     1471     
8586     716     1472     
8593     716     1473     
8599     716     1474     
8605     717     1476     
8611     717     1477     
8617     718     1478     
8623     719     1479     
8629     719     1480     
8635     720     1481     
8641     721     1482     
8647     722     1483     
8653     722     1484     
8659     723     1486     
8665     724     1487     
8671     724     1488     
8677     724     1489     
8684     725     1490     
8691     726     1491     
8697     727     1493     
8703     727     1494     
8710     728     1495     
8716     728     1496     
8723     728     1497     
8730     729     1498     
8736     729     1499     
8743     730     1500     
8749     731     1501     
8755     732     1502     
8761     732     1503     
8768     733     1504     
8774     734     1505     
8780     734     1506     
8786     734     1507     
8793     735     1508     
8799     736     1510     
8805     737     1511     
8812     738     1512     
8818     739     1513     
8824     740     1515     
8830     740     1517     
8836     740     1519     
8843     741     1520     
8850     742     1521     
8857     743     1522     
8864     744     1523     
8870     744     1524     
8876     744     1525     
8883     745     1526     
8890     746     1527     
8896     747     1529     
8903     748     1530     
8910     749     1532     
8916     749     1533     
8922     749     1534     
8929     750     1535     
8935     750     1537     
8941     750     1538     
8948     751     1539     
8954     752     1540     
8960     753     1542     
8967     754     1543     
8973     755     1544     
8979     755     1545     
8986     756     1547     
8993     757     1548     
8999     758     1549     
9005     759     1550     
9011     760     1551     
9017     761     1552     
9023     762     1553     
9029     763     1555     
9035     764     1557     
9041     764     1558     
9048     765     1559     
9054     766     1560     
9060     767     1562     
9066     767     1563     
9072     768     1565     
9078     769     1566     
9084     769     1567     
9090     769     1568     
9097     770     1569     
9103     771     1571     
9109     771     1573     
9115     771     1574     
9122     771     1575     
9128     771     1576     
9135     771     1577     
9142     772     1578     
9148     772     1579     
9154     772     1580     
9160     772     1581     
9167     773     1583     
9174     774     1584     
9180     775     1585     
9187     776     1586     
9192     776     1587     
9199     777     1588     
9205     777     1589     
9212     778     1590     
9218     778     1591     
9225     779     1592     
9231     779     1593     
9237     779     1594     
9244     780     1595     
9251     781     1596     
9257     781     1598     
9264     782     1599     
9270     782     1600     
9276     782     1601     
9283     783     1602     
9290     783     1603     
9297     784     1604     
9303     784     1605     
9309     784     1607     
9315     784     1608     
9321     785     1609     
9327     785     1610     
9334     786     1611     
9340     786     1612     
9346     786     1613     
9353     786     1614     
9369     787     1615     
9380     788     1616     
9387     788     1617     
9403     788     1618     
9410     789     1619     
9416     790     1620     
9422     791     1621     
9428     792     1622     
9435     793     1623     
9442     794     1624     
9448     794     1625     
9454     794     1626     
